GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Wed Jun 06 17:37:55 MDT 2018,06-Jun-2018 17:37:54.196,-105.13179889,39.57269487,0.0,3.216,1746.5830078125,0.0,-1.8999023,4.7401886,8.6237335,0.043272246,
Wed Jun 06 17:37:56 MDT 2018,06-Jun-2018 17:37:55.181,-105.13179879,39.57269487,0.0,3.216,1746.58203125,0.0,-2.0434723,4.8095703,8.635696,0.047920525,
Wed Jun 06 17:37:57 MDT 2018,06-Jun-2018 17:37:56.179,-105.13179866,39.57269484,0.0,3.216,1746.57666015625,0.0,-2.0219421,4.82872,8.645264,0.042119157,
Wed Jun 06 17:37:58 MDT 2018,06-Jun-2018 17:37:57.180,-105.13179844,39.57269481,0.0,3.216,1746.59033203125,0.0,-1.9621124,4.7617188,8.707489,0.045813918,
Wed Jun 06 17:37:59 MDT 2018,06-Jun-2018 17:37:58.179,-105.1317982,39.57269486,0.0,3.216,1746.60595703125,0.0,-2.0434723,4.7641144,8.592621,0.04195839,
Wed Jun 06 17:38:00 MDT 2018,06-Jun-2018 17:37:59.179,-105.13179807,39.57269491,0.0,3.216,1746.6015625,0.0,-2.067398,5.190033,8.492126,0.037212055,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:00.178,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,2.2588196,-3.5150604,10.987839,0.12682195,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:01.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5218353,-1.6366882,9.757935,0.039447963,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:02.179,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5074768,-1.6175537,9.8033905,0.043428957,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:03.179,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.6151581,-1.7084808,9.927826,0.04342721,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:04.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5194397,-1.6988983,9.829712,0.047593176,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:05.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.4739838,-1.7419739,9.729218,0.04140158,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:06.181,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.557724,-1.701294,9.786652,0.04395634,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:07.181,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5146637,-1.6725769,9.765106,0.041438986,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:08.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5074768,-1.6988983,9.753143,0.04091886,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:09.184,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5194397,-1.689331,9.808182,0.041182358,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:10.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5170441,-1.689331,9.7986145,0.040642384,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:11.181,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5314026,-1.7108612,9.7005005,0.041159857,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:12.181,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5050812,-1.7036896,9.791428,0.043654382,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:13.180,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.4763641,-1.6725769,9.765106,0.04007119,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:14.181,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.5601196,-1.8783722,9.712463,0.039719544,
Wed Jun 06 17:38:01 MDT 2018,06-Jun-2018 17:38:15.184,-105.13179782,39.5726948,0.0,3.216,1746.623779296875,0.0,1.6654053,-1.931015,9.573685,0.038860727,
