GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Thu Jun 07 19:37:36 MDT 2018,07-Jun-2018 19:37:36.109,-105.09939297,39.55940402,0.0,9.648001,1683.041748046875,0.0,-2.4957123,4.543976,8.784058,0.04605076,
Thu Jun 07 19:37:41 MDT 2018,07-Jun-2018 19:37:41.107,-105.09939497,39.55940433,0.0,9.648001,1683.0322265625,0.0,-1.799408,3.8404846,8.858231,0.03740893,
Thu Jun 07 19:37:46 MDT 2018,07-Jun-2018 19:37:46.107,-105.09939607,39.55940439,0.0,9.648001,1683.056640625,0.0,-1.4644012,3.270996,9.016159,0.039900877,
Thu Jun 07 19:37:51 MDT 2018,07-Jun-2018 19:37:51.105,-105.0993942,39.55940429,0.0,9.648001,1683.298828125,0.0,-3.0460663,2.3018951,10.255646,0.13452345,
Thu Jun 07 19:37:56 MDT 2018,07-Jun-2018 19:37:56.108,-105.09939598,39.55940456,0.0,3.216,1683.30859375,0.0,-0.47138977,-2.634491,9.698105,0.044546902,
Thu Jun 07 19:38:01 MDT 2018,07-Jun-2018 19:38:01.108,-105.09939719,39.55940471,0.0,3.216,1683.3505859375,0.0,-0.48335266,-3.1058807,9.717255,0.048587292,
Thu Jun 07 19:38:06 MDT 2018,07-Jun-2018 19:38:06.108,-105.09941638,39.55942066,0.24,3.216,1686.64208984375,319.7,-1.0935211,-1.2993011,9.918243,0.054553013,
Thu Jun 07 19:38:11 MDT 2018,07-Jun-2018 19:38:11.111,-105.09931145,39.55934179,4.02,3.216,1688.1689453125,141.5,-0.36610413,-2.1176453,9.894318,0.045568272,
Thu Jun 07 19:38:16 MDT 2018,07-Jun-2018 19:38:16.108,-105.09907909,39.55917134,6.43,3.216,1690.70703125,118.8,0.059814453,-1.7156525,9.896713,0.051248208,
Thu Jun 07 19:38:21 MDT 2018,07-Jun-2018 19:38:21.109,-105.09866667,39.559057,8.87,3.216,1690.3115234375,104.0,-0.9882355,-2.3569336,9.820145,0.053379714,
Thu Jun 07 19:38:26 MDT 2018,07-Jun-2018 19:38:26.110,-105.09810619,39.55905553,10.26,3.216,1689.34619140625,82.2,-0.3014984,-2.7589264,9.982849,0.052887976,
Thu Jun 07 19:38:31 MDT 2018,07-Jun-2018 19:38:31.109,-105.09755682,39.55918304,9.77,3.216,1688.3203125,74.0,0.2368927,-2.8737793,9.243469,0.040466465,
Thu Jun 07 19:38:36 MDT 2018,07-Jun-2018 19:38:36.109,-105.09705226,39.55929046,8.69,3.216,1686.070068359375,76.3,0.65802,-2.7804565,10.004395,0.06476817,
Thu Jun 07 19:38:41 MDT 2018,07-Jun-2018 19:38:41.107,-105.09655815,39.55933425,8.76,5.36,1685.237548828125,85.4,1.1724854,-2.8283234,10.069,0.09180373,
Thu Jun 07 19:38:46 MDT 2018,07-Jun-2018 19:38:46.111,-105.09615891,39.55911817,8.82,6.432,1685.3994140625,130.1,-1.3088684,-2.3449707,9.9015045,0.06479305,
Thu Jun 07 19:38:51 MDT 2018,07-Jun-2018 19:38:51.107,-105.09569014,39.55895775,8.36,4.288,1684.47509765625,100.7,-1.8305054,-2.7637177,9.480362,0.042773068,
Thu Jun 07 19:38:56 MDT 2018,07-Jun-2018 19:38:56.106,-105.09518879,39.55914803,10.13,6.432,1682.888671875,60.2,0.13160706,-3.0604248,9.805786,0.04327733,
Thu Jun 07 19:39:01 MDT 2018,07-Jun-2018 19:39:01.109,-105.09471116,39.55938595,9.1,5.36,1680.996337890625,55.2,-0.107681274,-2.3688965,10.00679,0.042368762,
Thu Jun 07 19:39:06 MDT 2018,07-Jun-2018 19:39:06.108,-105.09427617,39.55966855,9.88,3.216,1679.49609375,41.9,0.2536316,-2.892929,9.5234375,0.045469686,
Thu Jun 07 19:39:11 MDT 2018,07-Jun-2018 19:39:11.107,-105.09385032,39.5599003,8.87,3.216,1678.453125,70.8,0.77049255,-2.3066864,9.877579,0.043991435,
Thu Jun 07 19:39:16 MDT 2018,07-Jun-2018 19:39:16.108,-105.09330719,39.55992951,8.51,3.216,1679.59814453125,87.9,1.7706909,-2.8833466,9.530609,0.04993099,
Thu Jun 07 19:39:21 MDT 2018,07-Jun-2018 19:39:21.108,-105.09295111,39.55978058,7.41,3.216,1679.7880859375,145.6,1.6366882,-1.6079712,9.731613,0.06710496,
Thu Jun 07 19:39:26 MDT 2018,07-Jun-2018 19:39:26.106,-105.09288118,39.55939124,9.76,3.216,1676.0732421875,176.6,-1.5218353,-3.139389,9.410965,0.058800876,
Thu Jun 07 19:39:31 MDT 2018,07-Jun-2018 19:39:31.108,-105.09264332,39.55908685,7.59,4.288,1677.432373046875,127.8,-1.071991,-3.7567291,8.987442,0.017961323,
Thu Jun 07 19:39:36 MDT 2018,07-Jun-2018 19:39:36.107,-105.09236111,39.55904774,2.45,4.288,1680.89501953125,103.8,2.100891,-1.4955139,9.750748,0.026500778,
